target_year,mae,rmse,mape,smape
2009,2.0480942503611246,2.1388170689399613,30.228162734414425,25.81416878738861
2010,1.1934609603881836,1.2281818483217548,13.239264757678301,14.225055714177534
2011,1.581191601753235,1.6542217343278498,16.444548235234898,18.042582632040947
2012,1.4001103719075523,1.470549890135293,13.329152016401007,14.366693828654045
2013,0.8086994806925455,1.1697441182567694,9.863104583630028,8.900008259784993
2014,0.8082673931121828,0.9798056158998236,9.457909488431689,8.840428056930305
2015,0.5138899866739908,0.6650366002881848,5.599304464950019,5.456788774673753
2016,0.7588264497121178,0.8530266528431537,9.189593875880197,8.681214726081986
2017,0.823422088623047,0.8594284154802998,10.198269825644985,9.660522600278142
2018,1.32611665725708,1.4686700581177694,13.200505613449934,14.343113335651617
2019,0.19459137598673518,0.27979847317589396,2.0840853746056616,2.1233231289607293
2020,0.4340258948008218,0.5105048693909219,4.81036190742601,4.971002795371801
2021,0.7551462014516194,0.9821211189913445,7.214589569557106,7.670811977041013
2022,2.719499209721883,2.831030830368657,21.91753347002563,24.81815336085914
2023,1.8418355719248456,2.2865509145246805,16.76712849490287,14.76672938076182
2024,1.029580224355062,1.0862553175486453,9.762205013861896,9.361656985932674
OVERALL,1.1397973574201268,1.4383640584153536,12.081607464130915,12.00264089653682
