target_year,mae_base,mae_corr,rmse_base,rmse_corr,mape_base,mape_corr,smape_base,smape_corr
2009,2.048066752751668,2.048066752751668,2.138788927939916,2.138788927939916,30.227760401472388,30.227760401472388,25.81387232334167,25.81387232334167
2010,1.19345929145813,2.217492667833964,1.2281798277957272,2.264095964764186,13.239247022050925,24.670149801346227,14.225034724825383,28.282835463199778
2011,1.5813257519404094,1.4966127943992618,1.6543567159354506,1.5427772877255892,16.445970551659745,15.626806293102389,18.044288486653528,17.02678230221792
2012,1.4001335779825848,0.6060485955079394,1.4705733760558772,0.7951533445995985,13.329374616877557,5.687719792231357,14.366951559701837,5.965610554552353
2013,0.8086989243825276,1.7547041779756543,1.1697413914167851,2.068230409252133,9.86309381075308,20.427308969559004,8.900002704341798,17.722456805954035
2014,0.8082650883992515,0.9227764881650607,0.9798022671922092,1.1553561246597697,9.457880420925648,10.805229987860205,8.840404454307778,9.922518406694186
2015,0.5138922119140624,0.33668573960661935,0.665036650617032,0.4111870796888736,5.599328416368545,3.6137627321672374,5.456812128889188,3.61906685695198
2016,0.7588250986735029,0.5536853092660509,0.8530247896378438,0.6307416571872688,9.189577016264106,6.545434806823981,8.68120016066129,6.282464468782606
2017,0.8234214528401694,0.5729190189018848,0.8594277064949173,0.6744461171661222,10.198261849748311,6.919905523313838,9.660515517003754,6.754931046899891
2018,1.3261008421579996,1.95608421559756,1.468656000224091,2.075001312372936,13.200342678075,19.672701187611178,14.342927167675153,22.077385427006654
2019,0.1945939191182456,0.45838912555637457,0.27982099877864053,0.5289689293162545,2.084099784338442,5.084434827132169,2.12334532664534,4.986091197741244
2020,0.4340229543050129,0.39880573987495155,0.5105027536928096,0.47767086214192434,4.810328197184256,4.471553405618625,4.9709682033401,4.534766310263638
2021,0.7551485856374104,0.5375117889628748,0.9821233473257334,0.7088808812830908,7.214613186344919,5.152978447557702,7.670837775208578,5.368219487188186
2022,2.71951852162679,2.1921189973227837,2.831048945528379,2.3267992172991296,21.917692657249543,17.622137444444057,24.81835288051188,19.52232399417854
2023,1.8417779541015626,3.4140085491799983,2.2864884186961874,3.856557348497603,16.766618465133654,30.405986944511813,14.766319174902529,25.295023802950162
2024,1.029584992726644,0.9619154870646889,1.0862602357840638,1.0973273174476357,9.762252825360584,9.048544044169098,9.361698736089117,8.688059733662874
OVERALL_BASE,1.1398022450009984,,1.4383678398228177,,12.08165261873792,,12.002720707756183,
OVERALL_CORR,,1.2767390904979583,,1.6984269926063145,,13.498900913057579,,13.241400511349108
